acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label
0.039518684,-0.00530697,0.867073357,-0.00302422,0.028117336,0.051498596,40:22.1,53.4,86,0.048004291,-0.06754325,1.174253225,0.029829979,-0.000541569,0.003236339,41:08.1,45,106,01:46.0,4
-0.047392443,-0.061995056,0.92872864,-0.004856817,0.011013109,-0.089916706,40:22.7,54,87,0.054671554,-0.125316855,0.942132026,0.006922534,0.013508332,0.139306573,41:09.1,45.6,107,01:47.0,5
-0.027151922,0.006555399,0.996476471,-0.036621809,0.048581321,0.100367814,40:23.2,54.5,88,0.028939871,-0.154263966,0.971863002,0.020056136,-0.067431312,0.323787868,41:10.2,46.1,108.1,01:48.1,5
0.024729483,-0.002171033,1.074459434,0.011025682,0.044916131,0.01484668,40:23.7,55,89,-0.008762666,-0.17307958,0.964308441,-0.013298042,-0.00218738,0.016684109,41:11.2,46.6,109.1,01:49.1,4
0.057459682,0.564249933,1.450971007,-0.879615903,0.037585746,0.054858353,40:24.2,55.5,90,-0.016537989,-0.131709345,0.940548003,0.000631124,-0.006221459,-0.013037378,41:12.3,47.1,110.2,01:50.2,4
-0.027398758,-0.099867523,0.938476563,0.024654143,0.070887879,0.027510025,40:24.8,56.1,91,0.015944871,-0.121577855,0.933358908,-0.001803642,-0.011854993,-0.014139021,41:13.4,47.7,111.3,01:51.3,5
-0.102683626,0.054385535,0.780804753,0.153852135,0.2294074,0.182669804,40:25.3,56.6,92,-0.032829143,-0.116512105,0.958703399,0.00778516,0.002657712,-0.012353159,41:14.4,48.2,112.3,01:52.3,5
-0.059240557,-0.116029657,1.001593947,0.048477888,-0.046398252,0.029037189,40:25.9,57.2,93,0.015274093,-0.143408798,0.929825336,0.018745176,0.00081704,-0.01067818,41:15.5,48.8,113.4,01:53.4,5
-0.017031658,0.001942341,0.957484901,-0.075527757,-0.033264648,0.061718479,40:26.4,57.7,94,0.011754237,-0.053310925,0.927875727,-0.008743757,-0.008804087,-0.142472357,41:16.5,49.3,114.4,01:54.4,5
-0.055291187,0.02646439,1.038392186,0.044507258,0.016215436,-0.026551548,40:27.0,58.3,95,0.031141131,-0.073453284,0.957972318,0.034322239,-0.023617569,0.128751807,41:17.6,49.9,115.5,01:55.5,1
-0.155012786,-0.283681661,1.118324757,0.201805055,-0.074192621,0.059885882,40:27.5,58.8,96,-0.079851335,0.26185178,0.837098658,-0.273401126,0.242414229,0.785737365,41:18.7,50.4,116.6,01:56.6,1
-0.081702597,-0.076709837,0.996720076,-0.042541035,-0.013106095,0.027204596,40:28.0,59.3,97,-0.244614117,0.079639882,1.254064023,-0.058987428,-0.041790808,0.278261073,41:19.8,50.9,117.7,01:57.7,1
-0.088367164,-0.055964407,0.920442998,-0.018703014,-0.060032815,0.023744378,40:28.5,59.8,98,-0.070224743,0.031281877,0.883157372,-0.013019815,-0.012163846,0.068734303,41:20.8,51.4,118.7,01:58.7,5
-0.01875951,-0.062236279,0.896560729,-0.079178676,0.030680673,0.037183415,40:29.1,60.4,99,-0.047515863,-0.053672761,0.957241207,-0.002635106,-0.020410527,0.02169768,41:21.9,52,119.8,01:59.8,5
-0.066398792,-0.071402863,0.980148733,-0.015343253,-0.002611482,0.085136339,40:29.6,60.9,100,-0.169205844,-0.070679188,0.986850411,0.027602725,0.007078409,1.19619E-05,41:22.9,52.5,120.8,02:00.8,5
-0.137487456,0.053414367,0.786166072,0.071094185,0.026099185,0.051538747,40:30.1,61.4,101,-0.11724693,-0.154987633,0.830275148,0.011567511,0.017004969,-0.047635526,41:24.0,53,121.9,02:01.9,5
-0.048379786,-0.064166084,0.869510353,0.010923952,-0.05697849,0.008167316,40:30.7,61.9,102,-0.027645593,-0.182849228,0.849770933,0.07540293,0.119630331,-0.094061285,41:25.1,53.5,123,02:03.0,5
-0.136746958,-0.294054359,1.005736828,-0.02297907,-0.034376476,-0.167151019,40:31.2,62.5,103,-0.04142179,-0.020829203,0.976736933,0.035696689,0.064805172,-0.769067332,41:26.1,54.1,124,02:04.0,3
-0.165379882,-0.134362817,0.91849345,0.145619735,-0.045677483,0.115068741,40:31.7,63,104,-0.27052024,0.019883208,1.274047196,-0.1420651,-0.116316371,-0.502271995,41:27.2,54.6,125.1,02:05.1,3
-0.031841796,-0.021951558,-0.202946082,0.597660005,0.122615889,0.180431306,40:32.3,63.5,105,-0.058771029,0.051350629,1.113694608,0.221857876,-0.08836928,-0.149497308,41:28.2,55.1,126.1,02:06.1,4
-0.222645745,-0.092389517,0.944568992,0.053989954,-0.026435226,0.044513796,40:32.8,64.1,106,0.017995188,-0.2002175,0.859031379,0.043027066,0.041286865,-0.138196297,41:29.3,55.7,127.2,02:07.2,4
0.009940282,-0.013026198,0.979417682,0.005731598,0.033124134,-0.151879385,40:33.3,64.6,107,0.044246379,-0.246653482,0.897413641,-0.015837682,-0.006753774,0.011287202,41:30.4,56.2,128.3,02:08.3,4
0.107645988,-0.398022741,0.182285249,-0.401104629,-0.028267821,-0.055973537,40:33.8,65.1,108,0.001939567,-0.061150766,0.955413491,0.007781707,-0.011787688,-0.010538961,41:31.5,56.7,129.4,02:09.4,1
-0.106633,-0.014232328,1.04960227,-0.178138852,-0.030100418,0.014275969,40:34.4,65.7,109,0.00860683,-0.02617301,0.94578746,-0.020296032,-0.015754188,-0.012812869,41:32.6,57.3,130.5,02:10.5,1
0.009940282,-0.123748891,0.861955762,0.028333612,0.017852504,0.241823271,40:34.9,66.2,110,-0.055044349,-0.030032624,0.978930235,0.003680428,-0.004453179,-0.008231379,41:33.6,57.8,131.5,02:11.5,5
-0.047392443,-0.044385564,0.932627857,0.028333612,-0.055451326,0.165159672,40:35.4,66.7,111,0.018425889,-0.058738505,0.939207673,0.048579026,-0.00200972,0.020937439,41:34.7,58.3,132.6,02:12.6,5
-0.039246868,-0.082740486,0.986728549,0.02741731,-0.02215917,0.141335934,40:36.0,67.2,112,-0.041795596,-0.140875921,0.922636241,-0.148119587,-0.023390003,0.53391156,41:35.7,58.8,133.6,02:13.6,5
-0.111816548,-0.066095896,0.934090078,-0.013510659,0.068554319,0.076278791,40:36.5,67.8,113,0.030796033,-0.049317378,1.010367155,-0.056947947,0.010513019,0.62523587,41:36.8,59.4,134.7,02:14.7,2
-0.058746886,-0.095766686,0.943594158,0.045875371,0.042477302,0.06598781,40:37.0,68.3,114,-0.004105886,-0.036786948,0.980757982,-0.04442521,-0.022320988,0.090881504,41:37.9,59.9,135.8,02:15.8,5
-0.034556992,-0.064889766,0.931896746,-0.004203763,-0.001335967,0.018694285,40:37.6,68.9,115,0.091152901,-0.035098368,0.963211775,0.002305981,0.01494179,-0.602755986,41:39.0,60.5,136.9,02:16.9,3
-0.084664628,-0.002653485,1.07421577,0.162257016,-0.020578222,0.059011392,40:38.1,69.4,116,0.22474736,-0.177378468,1.06190899,0.143874019,0.020592293,-0.646127373,41:40.1,61,138,02:18.0,5
-0.094538055,-0.141599596,0.873896897,-0.016745683,0.003190976,0.060121696,40:38.6,69.9,117,-0.024147533,-0.138222443,0.881573349,-0.056031641,-0.011630847,0.238405481,41:41.3,61.5,139.1,02:19.1,2
-0.156987473,-0.130261987,0.84611547,0.094737232,-0.038347863,0.031716462,40:39.1,70.4,118,-0.121415287,0.030591865,1.119543344,-0.193323612,0.008985855,0.681435525,41:42.3,62,140.2,02:20.2,5
-0.138474807,-0.066578344,1.10077858,-0.049426973,-0.139751494,0.017971996,40:39.7,71,119,-0.125665016,-0.011889745,0.8604936,0.286358312,0.016316238,0.005971238,41:43.4,62.6,141.3,02:21.3,5
-0.010120261,-0.028705882,0.941644609,-0.130366623,-0.025214259,0.107463747,40:40.2,71.5,120,-0.105275407,-0.111205142,0.819186926,-0.051908314,0.003488068,0.2602439,41:44.4,63.1,142.3,02:22.3,5
