acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,elapsed,Row #,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,datetime,IGNORE,Elapsed,Minutes,Label,
-0.00567722,0.704826832,0.58389765,-0.039684922,-0.047213215,0.01595038,34:03.0,101.2,97,-0.008886083,0.675691724,0.561964929,-0.047794111,-0.008854924,0.007601154,34:55.4,51.5,136.9,02:16.9,5,
0.012607188,0.831321776,0.826863408,-0.010668829,0.00471033,-0.015814614,34:03.6,101.8,98,0.018910781,0.751200229,0.784094632,-0.061691299,-0.005647881,-0.028745327,34:56.5,52.1,138,02:18.0,5,
0.032002863,0.725221455,0.593158126,-0.056178287,0.017843934,0.024197061,34:04.1,102.3,99,0.037457895,0.745009005,0.649695814,-0.08948566,0.023368218,-0.060815752,34:57.6,52.6,139.2,02:19.2,5,
-0.016291153,0.733233571,0.487149984,-0.058010876,0.018149365,0.044050183,34:04.6,102.9,100,-0.013216855,0.68928811,0.713544399,-0.151641212,0.010234615,0.070062127,34:58.7,53.2,140.3,02:20.3,5,
-0.017278496,0.763097048,0.70745194,-0.022275269,0.015400471,-0.000237549,34:05.2,103.4,101,-0.108905675,0.839819521,0.768863559,-0.072228715,0.228618938,0.168106001,34:59.8,53.7,141.4,02:21.4,2,
0.078067586,0.650684118,0.502502918,0.000632182,0.034948159,-0.011538557,34:05.7,103.9,102,-0.128107699,0.696207702,0.79554835,0.040934071,0.726932257,0.737585098,35:00.9,54.2,142.5,02:22.5,2,
-0.029867113,0.676177323,0.507864237,-0.091608465,0.000434273,-0.010622259,34:06.2,104.5,103,-0.019006345,0.698514223,0.751804799,-0.011753067,0.088272648,0.110073797,35:02.0,54.8,143.6,02:23.6,5,
-0.014810139,0.820396125,0.778367698,0.039727554,-0.003841783,0.005871103,34:06.8,105,104,0.030063294,0.674477756,0.69453603,0.010848947,0.033447494,0.031577614,35:03.1,55.3,144.7,02:24.7,5,
-0.040974721,0.728377759,0.647989869,-0.049764201,0.010818982,-0.05643715,34:07.3,105.5,105,0.035397103,0.719394386,0.713788062,-0.063168459,0.002978643,-0.029194201,35:04.2,55.8,145.8,02:25.8,5,
-0.257202744,0.871382535,0.734258592,-0.015555754,0.826018631,0.850697756,34:07.8,106.1,106,-0.012588618,0.601882786,0.603515267,-0.09213455,0.034207183,0.011590327,35:05.3,56.4,146.9,02:26.9,5,
-0.099721596,0.639272869,0.619721055,-0.018915504,0.718200922,0.76639837,34:08.4,106.6,107,0.229111392,0.677512676,0.663708389,-0.024786666,-0.155161047,-0.073014511,35:06.4,56.9,148,02:28.0,3,
-0.069113985,0.633445799,0.63166219,-0.043655545,0.607634306,0.629564524,34:08.9,107.2,108,0.100880459,0.576268166,0.744737536,-0.075030334,-0.786032081,-0.861488819,35:07.5,57.5,149.1,02:29.1,3,
0.23977901,0.624462545,0.741082132,-0.03357628,0.165673316,0.211732686,34:09.5,107.7,109,0.04303415,0.719879985,0.734624118,-0.029826298,-0.16585118,-0.157008484,35:08.6,58,150.2,02:30.2,5,
0.361001968,0.567891836,0.728166163,-0.075725973,-0.816292584,-0.872247636,34:10.0,108.2,110,0.068975866,0.632231861,0.657372266,-0.025855683,-0.014356605,-0.042471249,35:09.7,58.5,151.3,02:31.3,5,
0.220140889,0.67229265,0.627275705,-0.06014891,-0.759176672,-0.803830743,34:10.5,108.8,111,0.038548901,0.670350283,0.872556597,-0.031200744,-0.037416771,0.001511051,35:10.8,59.1,152.4,02:32.4,4,
0.15977186,0.790289819,0.591452241,-0.095884532,-0.54934448,-0.641951442,34:11.1,109.3,112,0.025093154,0.567770451,0.757531673,-0.034240171,0.011179124,1.11084E-05,35:11.9,59.6,153.5,02:33.5,4,
0.077340245,0.727406561,0.585116148,-0.048237041,-0.026443798,-0.093699932,34:11.6,109.8,113,0.012970857,0.640001237,0.711472958,-0.039432526,0.003848741,-0.0038068,35:13.0,60.1,154.6,02:34.6,5,
0.112252459,0.705069602,0.60095644,-0.025940463,-0.014531925,-0.064683832,34:12.2,110.4,114,0.014425532,0.657725036,0.679061264,-0.04034882,0.00430689,-0.003043218,35:14.1,60.7,155.7,02:35.7,5,
-0.043443073,0.673992157,0.512494445,-0.091303051,-0.014226492,-0.033529703,34:12.7,110.9,115,0.019638119,0.685282052,0.673943669,-0.040043391,0.00430689,-0.001057906,35:15.2,61.2,156.8,02:36.8,5,
-0.028879769,0.677391291,0.509082675,-0.147197217,-0.038966537,-0.026199322,34:13.2,111.5,116,-0.012717609,0.725828409,0.676258773,-0.041265123,0.005681336,-0.005333962,35:16.3,61.8,157.9,02:37.9,5,
0.078067586,0.702884555,0.600468993,-0.065341264,0.041667677,-0.005124472,34:13.7,112,117,0.0118216,0.706162184,0.734380454,-0.016066931,0.009957393,-0.002737785,35:17.4,62.3,159,02:39.0,5,
0.049216524,0.63320303,0.588527858,0.009795159,-0.075007588,-0.021923266,34:14.3,112.5,118,-0.007651905,0.634781182,0.637023568,-0.045083024,-0.001343614,0.016199037,35:18.5,62.8,160.1,02:40.1,5,
0.124132313,0.73371917,0.716712415,0.078517497,0.007764656,-0.0353623,34:14.8,113.1,119,0.016817068,0.683825254,0.638242066,-0.063714422,0.034697436,0.023223988,35:19.6,63.4,161.1,02:41.1,5,
0.116616488,0.690259278,0.46570465,0.004297376,0.025174316,-0.002986443,34:15.4,113.6,120,-0.001498573,0.686738819,0.686494052,-0.027367935,-0.025625507,0.022918555,35:20.7,63.9,162.2,02:42.2,5,
0.005091364,0.765039444,0.477402121,0.008267999,-0.021556875,-0.00145928,34:15.9,114.1,121,0.031639192,0.690623492,0.722317457,-0.013623469,0.064935263,-0.032212035,35:21.8,64.4,163.3,02:43.3,5,
